Season_1,Duke_1,NCState_1,Wake_1,W_1,L_1,Empty,Season_2,Duke_2,NCState_2,Wake_2,W_2,L_2
2015,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0,,1995,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
2014,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,1,1,,1994,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
2013,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,,1,1,,1993,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
2012,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,1,2,,1992,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1
2011,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1,,1991,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1
2010,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,1,1,,1990,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1
2009,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,1,1,,1989,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,0,3
2008,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,1,1,,1988,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,0,3
2007,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,1,2,,1987,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,1,2
2006,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,2,1,,1986,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1
