"","DataThrough","Season","TeamName","Seed","ConfShort","Coach","Wins","Losses","AdjEM","RankAdjEM","Pythag","RankPythag","AdjOE","RankAdjOE","OE","RankOE","AdjDE","RankAdjDE","DE","RankDE","Tempo","RankTempo","AdjTempo","RankAdjTempo","Luck","RankLuck","SOS","RankSOS","SOSO","RankSOSO","SOSD","RankSOSD","NCSOS","RankNCSOS","Event","APL_Off","RankAPL_Off","APL_Def","RankAPL_Def","ConfAPL_Off","RankConfAPL_Off","ConfAPL_Def","RankConfAPL_Def"
"12","End of season",2022,"Auburn",2,"SEC","Bruce Pearl",28,6,23.2026,12,0.9341,12,112.683,25,108.011,47,89.4805,9,92.6285,10,71.2739,42,70.1123,42,-0.0212,226,8.352,41,106.931,52,98.5791,35,3.6989,62,"NCAA",16.77,71,16.7,27,16.86,6,16.51,3
"13","End of season",2022,"Iowa",5,"B10","Fran McCaffery",26,10,22.7221,13,0.9171,13,120.476,4,117.431,4,97.7535,80,100.921,156,70.2984,72,69.6509,53,-0.061,309,7.3063,61,107.141,45,99.8345,69,-6.8182,326,"NCAA",15.81,22,18.25,318,16.12,1,18.23,11
"14","End of season",2022,"Purdue",3,"B10","Matt Painter",29,8,22.3616,14,0.9129,15,120.985,2,117.904,3,98.6234,93,101.864,177,66.655,258,66.1389,237,0.0216,133,8.8118,33,108.045,19,99.233,49,-3.539,261,"NCAA",17.75,206,18.21,313,18.18,9,18.04,10
"15","End of season",2022,"Texas",6,"B12","Chris Beard",22,12,20.8759,15,0.9138,14,112.454,26,106.049,85,91.5777,14,93.1247,15,64.4321,339,63.774,336,-0.0432,281,10.6837,15,107.712,27,97.0288,12,-8.1457,343,"NCAA",18.42,278,18.6,349,18.44,8,18.33,8
"16","End of season",2022,"North Carolina",8,"ACC","Hubert Davis",29,10,20.1328,16,0.9026,18,114.393,18,109.6,29,94.2598,35,100.051,132,70.3015,71,70.2423,39,0.0716,46,9.9008,19,108.956,8,99.0554,47,3.7929,61,"NCAA",17.01,96,17.08,75,17.16,2,17.17,1
"17","End of season",2022,"Saint Mary's",5,"WCC","Randy Bennett",26,8,19.5287,17,0.9042,16,110.107,51,106.339,79,90.5786,12,93.8995,24,65.3723,313,63.5522,339,0.039,96,6.8857,65,106.812,54,99.9264,71,3.3127,72,"NCAA",19.17,331,17.44,139,19.47,10,17.04,5
"18","End of season",2022,"Arkansas",4,"SEC","Eric Musselman",28,9,19.4643,18,0.904,17,109.864,53,104.945,112,90.3992,11,94.3263,26,71.923,31,70.6934,28,0.0384,99,9.0825,27,107.484,33,98.4014,28,-2.7806,245,"NCAA",16.42,45,16.94,50,16.75,3,16.9,5
"19","End of season",2022,"Virginia Tech",11,"ACC","Mike Young",23,13,18.863,19,0.887,22,114.999,17,111,22,96.1358,54,98.6441,95,63.584,345,63.3097,340,-0.0621,310,7.8774,50,107.421,37,99.5437,59,-0.5273,174,"NCAA",19.19,332,18.53,343,19.77,14,18.96,14
"20","End of season",2022,"Illinois",4,"B10","Brad Underwood",23,10,18.7457,20,0.8914,20,112.049,30,108.749,35,93.3033,29,98.0884,78,67.921,182,67.1516,179,0.0329,110,10.4406,17,108.997,7,98.5561,34,1.3911,123,"NCAA",18.13,258,17.32,117,18.32,10,17.49,3
"21","End of season",2022,"LSU",6,"SEC","Will Wade",22,12,18.6489,21,0.8998,19,107.304,89,102.099,175,88.6547,6,89.775,4,70.4792,64,68.5676,101,-0.0521,298,9.098,26,107.156,44,98.0578,21,-1.214,191,"NCAA",16.34,39,17.63,186,16.83,5,17.43,8
"22","End of season",2022,"Connecticut",5,"BE","Dan Hurley",23,10,18.5464,22,0.8855,23,113.824,22,109.517,31,95.2778,43,96.2022,44,66.755,257,64.7865,300,-0.0385,269,7.3891,59,105.67,77,98.2811,24,-3.5806,262,"NCAA",17.81,215,18.12,299,18.32,8,17.73,8
"23","End of season",2022,"San Francisco",10,"WCC","Todd Golden",24,10,17.3778,23,0.8774,24,110.467,44,107.315,56,93.0889,26,95.0446,30,70.6563,57,68.8924,82,-0.0417,277,5.1834,80,105.466,82,100.283,87,2.2277,97,"NCAA",17.34,147,16.65,22,17.2,5,16.34,1
"24","End of season",2022,"Memphis",9,"Amer","Penny Hardaway",22,11,17.2324,24,0.874,26,111.186,38,105.859,92,93.9532,33,96.637,53,71.0152,50,69.8846,49,-0.0276,242,7.4316,57,106.398,59,98.9664,46,4.4555,45,"NCAA",16.62,56,17.13,87,16.75,2,17.16,3
"25","End of season",2022,"San Diego St.",8,"MWC","Brian Dutcher",23,9,17.0661,25,0.8884,21,103.375,167,99.0336,240,86.3084,2,88.1079,1,65.3113,315,65.3966,268,-0.0025,182,5.9498,74,105.534,78,99.5838,60,2.5566,93,"NCAA",17.52,171,19.18,357,17.34,2,19.41,10
"26","End of season",2022,"TCU",9,"B12","Jamie Dixon",21,13,17.019,26,0.8764,25,108.669,74,101.14,197,91.6505,15,95.912,40,67.2198,228,65.9267,246,0.0138,144,11.7366,6,107.95,21,96.2138,5,-4.9951,298,"NCAA",18.75,304,16.94,51,18.93,10,17.38,2
"27","End of season",2022,"Michigan",11,"B10","Juwan Howard",19,15,16.6067,27,0.8597,30,113.856,21,107.489,53,97.2491,74,103.056,212,67.4537,212,66.6947,203,-0.0192,217,12.1547,4,109.846,1,97.6909,18,6.2674,27,"NCAA",17.6,182,17.92,269,17.71,6,18.01,9
"28","End of season",2022,"Alabama",6,"SEC","Nate Oats",19,14,16.5677,28,0.8564,31,115.182,16,108.532,44,98.6141,92,104.254,241,73.269,10,71.9053,11,-0.0219,229,12.5758,2,109.44,2,96.8647,10,10.1542,10,"NCAA",15.45,11,17.39,131,15.5,1,17.48,9
"29","End of season",2022,"Loyola Chicago",10,"MVC","Drew Valentine",25,8,16.521,29,0.8697,27,108.591,75,108.587,43,92.0696,18,92.7513,12,65.5308,305,64.6877,308,0.0116,149,3.1172,105,104.671,98,101.554,113,3.1481,79,"NCAA",17.69,196,18.63,351,17.64,4,19.04,10
"30","End of season",2022,"Oklahoma",1,"B12","Porter Moser",19,16,16.4771,30,0.8638,29,111.031,40,102.778,161,94.5537,38,97.288,66,66.1751,274,65.0704,287,-0.0539,302,11.7332,7,107.5,31,95.7663,3,-2.0425,222,"NIT",17.91,227,18.12,297,18.51,9,18.49,9
"31","End of season",2022,"Ohio St.",7,"B10","Chris Holtmann",20,12,16.2427,31,0.851,37,115.546,13,110.96,23,99.3034,111,103.242,215,65.1113,321,65.0397,289,-0.0168,213,9.8283,20,108.258,13,98.43,30,2.3116,96,"NCAA",18.9,319,17.84,245,19.01,13,17.85,8
"32","End of season",2022,"Providence",4,"BE","Ed Cooley",27,6,15.8887,32,0.8543,33,111.462,36,106.358,76,95.5738,44,98.5467,92,66.0324,282,65.2272,276,0.1645,1,7.7448,53,106.711,55,98.9663,45,0.2574,152,"NCAA",18.76,307,17.5,153,18.97,9,17.32,4
"33","End of season",2022,"Texas A&M",1,"SEC","Buzz Williams",27,13,15.6921,33,0.8563,32,109.141,66,103.952,133,93.4488,30,95.9536,42,68.4745,157,66.7308,202,-0.0097,197,7.3344,60,106.173,67,98.8386,43,-5.5797,308,"NIT",17.12,114,17.65,190,16.81,4,17.73,13
"34","End of season",2022,"Oklahoma St.",0,"B12","Mike Boynton",15,15,15.5961,34,0.8667,28,103.802,161,96.5003,286,88.2058,4,92.8628,13,68.8583,129,67.5963,142,-0.0742,327,11.8021,5,108.238,14,96.4357,6,0.2608,151,NA,16.64,58,18.08,294,17.29,2,18.61,10
"35","End of season",2022,"Wake Forest",0,"ACC","Steve Forbes",25,10,15.5639,35,0.851,36,110.701,41,108.873,33,95.1376,42,97.3777,67,71.3,41,70.611,30,-9e-04,175,4.3028,92,106.26,62,101.957,117,-9.3876,350,NA,16.45,46,17.08,77,16.82,1,17.29,2
"36","End of season",2022,"Murray St.",7,"OVC","Matt McMahon",31,3,15.4202,36,0.847,39,111.517,34,112.46,16,96.0967,52,93.1917,16,67.4603,211,66.0529,241,0.074,43,-3.0855,218,101.07,227,104.156,212,4.2922,47,"NCAA",17.82,216,17.72,213,17.74,6,18.18,9
"37","End of season",2022,"Wisconsin",3,"B10","Greg Gard",25,8,15.3417,37,0.8505,38,109.35,62,104.319,125,94.0081,34,98.3092,85,66.9947,242,66.4888,215,0.1053,15,9.7673,21,108.402,12,98.6349,37,2.9113,85,"NCAA",17.98,235,17.79,229,17.98,8,17.62,4
"38","End of season",2022,"Notre Dame",11,"ACC","Mike Brey",24,11,15.2456,38,0.8424,40,112.396,28,108.005,48,97.15,69,100.61,145,65.7995,295,65.6431,258,0.0171,141,7.8096,52,107.081,48,99.2716,53,2.6983,90,"NCAA",18.23,263,18.12,298,18.28,10,18.16,10
"39","End of season",2022,"Boise St.",8,"MWC","Leon Rice",27,8,15.1365,39,0.8513,35,107.526,86,103.088,152,92.3895,20,93.215,17,64.7873,333,64.4471,318,0.0292,116,5.4702,79,104.757,95,99.2873,54,0.5511,141,"NCAA",18.66,294,18.37,332,19.12,8,18.81,7
"40","End of season",2022,"Davidson",10,"A10","Bob McKillop",27,7,14.8511,40,0.827,49,116.761,11,113.27,11,101.91,155,100.494,142,65.6444,299,64.6942,307,-0.02,221,1.7165,115,102.659,164,100.942,104,-1.9767,219,"NCAA",18.37,274,18.07,290,18.64,13,18.13,9
"41","End of season",2022,"Miami FL",10,"ACC","Jim Larranaga",26,11,14.8019,41,0.8322,46,113.897,19,108.617,42,99.0951,107,103.51,223,67.8876,185,67.7186,134,0.088,27,8.6338,35,107.463,35,98.8294,42,0.3766,144,"NCAA",17.37,151,17.9,262,17.68,9,17.69,4
"42","End of season",2022,"Michigan St.",7,"B10","Tom Izzo",23,13,14.7609,42,0.8358,43,111.859,31,106.465,73,97.0978,67,102.137,185,67.8746,187,67.5117,147,0.0525,69,10.9319,14,109.39,4,98.4582,32,3.9093,56,"NCAA",16.98,94,18.26,320,17.36,4,18.37,12
"43","End of season",2022,"Iowa St.",11,"B12","T.J. Otzelberger",22,13,14.633,43,0.8532,34,103.135,171,96.8521,282,88.5019,5,92.239,8,67.2461,225,66.2847,226,0.0488,74,11.2518,11,108.121,16,96.8696,11,-6.8355,327,"NCAA",17.8,213,17.71,209,18.07,6,18.04,5
"44","End of season",2022,"Washington St.",0,"P12","Kyle Smith",22,15,14.4621,44,0.84,41,107.717,82,105.358,104,93.2545,28,95.6298,36,67.4298,215,66.3341,224,-0.0845,338,5.088,82,105.716,76,100.628,99,-3.3742,257,NA,18.4,276,17.28,111,18.69,10,17.71,5
"45","End of season",2022,"Dayton",1,"A10","Anthony Grant",24,11,14.4616,45,0.837,42,109.065,68,107.231,58,94.6032,39,94.6823,29,64.4202,340,63.0815,344,-0.0392,270,2.0694,112,103.674,127,101.605,114,-1.8639,215,"NIT",18.7,299,18.4,336,19.15,14,18.71,13
"46","End of season",2022,"Colorado St.",6,"MWC","Niko Medved",25,6,14.4511,46,0.8286,48,112.852,24,109.518,30,98.4013,89,99.6331,119,65.8418,290,65.3555,270,0.1207,6,5.0155,84,104.948,88,99.9324,72,-2.3185,230,"NCAA",17.47,165,18.85,354,17.75,5,19.15,9
"47","End of season",2022,"USC",7,"P12","Andy Enfield",26,8,14.1386,47,0.83,47,109.771,54,106.263,81,95.6321,45,97.0304,61,67.4781,209,66.2321,231,0.0602,57,5.136,81,104.844,90,99.7078,67,-4.7172,292,"NCAA",17.4,153,18.04,287,17.58,6,18.25,12
"48","End of season",2022,"Indiana",12,"B10","Mike Woodson",21,14,14.0437,48,0.8346,44,106.969,95,103.153,149,92.9255,24,96.3854,48,67.8082,191,67.2195,175,-0.0202,223,8.5065,38,108.102,17,99.596,64,-6.2294,319,"NCAA",17.54,176,17.91,267,17.92,7,18.38,13
"49","End of season",2022,"Mississippi St.",0,"SEC","Ben Howland",18,16,13.8646,49,0.8255,51,109.691,56,104.86,114,95.8267,46,98.3314,87,66.6199,262,65.6369,259,-0.0867,341,7.9557,47,106.277,61,98.321,25,-1.6347,202,NA,18.19,262,17.69,204,18.03,12,17.24,7
"50","End of season",2022,"Creighton",9,"BE","Greg McDermott",23,12,13.7758,50,0.8323,45,105.948,112,100.188,213,92.1724,19,96.4531,49,68.1373,172,67.1545,178,0.0864,28,9.1089,25,107.468,34,98.3592,27,-0.6699,178,"NCAA",17.88,223,17.31,116,18.21,7,17.15,3
"51","End of season",2022,"UAB",12,"CUSA","Andy Kennedy",27,8,13.6746,51,0.8163,54,112.446,27,111.626,19,98.7709,99,96.3411,47,69.9952,82,68.9048,79,-0.0346,256,-0.7674,159,101.996,189,102.764,147,-2.4552,234,"NCAA",16.36,41,17.75,217,16.67,2,17.78,9
"52","End of season",2022,"Seton Hall",8,"BE","Kevin Willard",21,11,13.6114,52,0.8268,50,107.088,91,102.428,168,93.4768,31,96.7449,55,68.5265,153,67.3187,167,0.0327,111,8.9145,29,107.497,32,98.5827,36,0.9912,130,"NCAA",17.03,98,17.84,248,17.42,5,17.47,7
"53","End of season",2022,"Xavier",0,"BE","Travis Steele",23,13,13.3586,53,0.8133,55,111.2,37,105.753,97,97.841,82,99.0926,101,69.1896,110,68.5833,100,0.0099,152,7.924,48,106.367,60,98.4432,31,0.9804,131,NA,16.72,67,17.97,276,16.94,3,18.24,10
"54","End of season",2022,"Vermont",13,"AE","John Becker",28,6,13.1952,54,0.8105,57,111.135,39,114.322,7,97.9395,83,93.5638,22,65.1707,319,64.9479,292,-0.0275,241,-6.9991,319,99.0331,323,106.032,293,1.918,107,"NCAA",18.32,273,18.28,323,18.76,7,17.85,3
"55","End of season",2022,"St. John's",0,"BE","Mike Anderson",17,15,13.0688,55,0.8101,58,110.258,46,106.342,78,97.1897,72,99.3249,109,74.2243,3,73.5757,1,-0.1008,346,6.7079,68,105.817,72,99.1093,48,-7.1688,333,NA,14.56,1,17.72,214,14.38,1,17.84,9
"56","End of season",2022,"Marquette",9,"BE","Shaka Smart",19,13,13.0612,56,0.8122,56,109.232,64,102.828,159,96.1711,55,99.3666,112,71.6118,37,70.8638,25,0.0209,137,9.5025,23,107.339,40,97.8367,20,4.0357,51,"NCAA",15.11,5,18.3,326,15.69,2,18.44,11
"57","End of season",2022,"North Texas",0,"CUSA","Grant McCasland",25,7,12.9841,57,0.8184,52,105.791,116,105.932,91,92.8067,22,92.9599,14,60.2747,357,59.2851,358,0.0012,170,0.264,136,103.812,122,103.548,180,4.853,41,NA,21.25,358,18.23,315,21.18,14,18.4,14
"58","End of season",2022,"BYU",0,"WCC","Mark Pope",24,11,12.9433,58,0.8081,59,110.118,50,106.017,89,97.1747,70,98.4471,91,69.3546,100,68.0135,118,0.0262,120,5.0123,85,104.971,86,99.9587,73,5.7417,31,NA,17.63,186,16.72,29,17.09,4,17.06,6
"59","End of season",2022,"Florida",0,"SEC","Mike White",20,14,12.667,59,0.8028,62,110.224,47,104.846,115,97.5569,77,98.9991,98,66.8629,251,65.4199,267,-0.0176,215,7.6038,54,106.025,68,98.4208,29,-2.3294,231,NA,16.95,91,18.63,350,17.89,10,18.94,14
"60","End of season",2022,"Utah St.",0,"MWC","Ryan Odom",18,16,12.6258,60,0.803,61,109.751,55,106.52,71,97.1252,68,97.9307,74,67.272,223,66.7613,200,-0.1327,358,4.593,91,104.795,92,100.202,83,3.2971,73,NA,17.07,106,18.43,338,17.39,3,19,8
"61","End of season",2022,"Kansas St.",0,"B12","Bruce Weber",14,17,12.5971,61,0.8027,63,109.646,57,101.581,185,97.049,66,99.3406,110,67.4785,208,66.5703,213,-0.0923,344,11.6604,8,107.338,41,95.6775,2,-4.3714,282,NA,17.6,184,17.9,264,18.1,7,17.92,4
"62","End of season",2022,"SMU",1,"Amer","Tim Jankovich",24,9,12.59,62,0.8043,60,108.865,70,106.045,86,96.275,57,96.53,50,69.4473,97,68.3597,107,0.0484,76,3.1199,104,104.078,115,100.958,106,-2.7275,243,"NIT",16.84,76,17.72,210,17.23,6,17.78,7
"63","End of season",2022,"VCU",0,"A10","Mike Rhoades",22,10,12.3104,63,0.8165,53,101.131,209,97.2027,276,88.8203,7,90.9767,7,68.5927,145,68.6308,95,0.0588,61,5.6645,77,106.183,65,100.519,92,5.4651,35,NA,16.84,75,18.13,302,16.88,1,17.92,7
"64","End of season",2022,"Vanderbilt",0,"SEC","Jerry Stackhouse",19,17,12.2688,64,0.8018,64,107.211,90,101.928,179,94.9419,40,97.8226,72,68.9498,124,67.7634,130,-0.0533,300,8.5828,36,107.126,46,98.5433,33,-0.8236,182,NA,18.09,253,16.66,23,17.97,11,16.39,1
"65","End of season",2022,"Wyoming",12,"MWC","Jeff Linder",25,9,11.9366,65,0.7912,65,109.114,67,106.796,66,97.1771,71,98.0097,75,66.0907,279,66.0688,239,0.0561,65,4.0961,97,104.739,97,100.643,100,-1.0485,186,"NCAA",18.66,295,17.63,184,18.82,7,17.7,5
"66","End of season",2022,"West Virginia",0,"B12","Bob Huggins",16,17,11.7623,66,0.7895,66,108.342,77,99.9738,219,96.5794,63,100.657,146,68.4773,156,67.9703,122,-0.0013,177,12.5191,3,108.43,11,95.911,4,-0.3691,168,NA,18.25,266,16.76,32,17.87,4,16.85,1
"67","End of season",2022,"Chattanooga",13,"SC","Lamont Paris",27,8,11.5135,67,0.7832,67,108.973,69,110.162,26,97.4594,76,99.1434,102,65.5072,307,64.7487,304,0.0068,158,0.4627,131,105.14,85,104.677,240,1.7357,111,"NCAA",18.87,318,17.8,230,18.51,7,17.56,1
"68","End of season",2022,"Saint Louis",0,"A10","Travis Ford",23,12,11.4484,68,0.7812,69,109.28,63,107.296,57,97.8318,81,98.169,81,68.7903,134,67.9054,124,-0.0209,224,3.3831,102,104.778,93,101.395,110,2.3318,95,NA,17.55,178,17.31,115,17.76,6,17.65,6
"69","End of season",2022,"Syracuse",0,"ACC","Jim Boeheim",16,17,11.4453,69,0.7687,76,115.399,15,110.791,24,103.954,207,107.816,303,68.4129,159,67.5592,144,-0.0651,316,8.152,43,107.408,38,99.2556,50,3.2493,75,NA,16.88,84,17.98,277,17.34,4,18.21,11
"70","End of season",2022,"Missouri St.",0,"MVC","Dana Ford",23,11,11.4035,70,0.7724,73,113.15,23,112.282,17,101.747,151,101.591,170,67.7526,194,67.141,181,-0.0397,273,0.7707,127,103.797,123,103.026,159,-3.0126,249,NA,17.85,220,17.48,146,17.97,6,17.86,3
"71","End of season",2022,"Clemson",0,"ACC","Brad Brownell",17,16,11.3563,71,0.7776,71,110.138,49,106.832,64,98.7813,101,102.007,182,66.6501,259,66.256,227,-0.0826,335,6.7674,66,107,51,100.233,86,-0.4135,169,NA,17.7,199,18.13,300,17.6,8,18.23,12
"72","End of season",2022,"Virginia",0,"ACC","Tony Bennett",21,14,11.2255,72,0.7802,70,107.627,85,103.797,135,96.4016,59,100.013,130,59.9704,358,59.4882,357,0.0245,125,7.0324,62,107.257,42,100.225,84,-4.0578,275,NA,20.34,355,19.41,358,20.69,15,19.32,15
"73","End of season",2022,"Fresno St.",0,"MWC","Justin Hutson",23,13,11.1389,73,0.783,68,105.492,126,104.016,131,94.3532,37,93.7483,23,62.3547,355,61.7589,355,-0.0525,299,1.325,118,103.124,149,101.799,116,-4.0686,276,NA,19.25,334,18.83,353,19.55,10,19.45,11
"74","End of season",2022,"Furman",0,"SC","Bob Richey",22,12,11.016,74,0.7631,80,113.885,20,114.155,8,102.869,174,102.862,210,65.5796,302,64.8344,297,-0.0722,326,-0.2261,145,104.037,116,104.263,221,1.2582,127,NA,17.75,205,18.47,339,17.77,5,18.65,10
"75","End of season",2022,"Towson",0,"CAA","Pat Skerry",25,9,10.9086,75,0.7695,75,109.604,58,109.936,28,98.6956,96,97.0544,62,66.0611,280,64.7567,302,-0.0146,208,-1.9903,190,101.708,204,103.699,187,-1.6744,205,NA,18.93,323,17.61,179,19.35,10,17.4,4
"76","End of season",2022,"Santa Clara",0,"WCC","Herb Sendek",21,12,10.8319,76,0.7635,79,111.782,32,107.989,49,100.95,132,100.465,141,71.2184,44,70.8103,26,-0.0143,206,2.3488,109,102.952,156,100.604,98,-1.8214,212,NA,15.63,17,18.16,306,15.44,2,17.84,10
"77","End of season",2022,"Rutgers",11,"B10","Steve Pikiell",18,14,10.816,77,0.7731,72,106.948,96,103.126,150,96.1322,53,100.108,134,65.5435,304,64.8975,295,8e-04,172,7.9178,49,108.071,18,100.154,81,-10.4335,354,"NCAA",17.64,189,18.89,355,17.51,5,19.32,14
"78","End of season",2022,"St. Bonaventure",0,"A10","Mark Schmidt",23,10,10.7098,78,0.7662,78,109.198,65,105.263,105,98.4883,91,100.068,133,66.2479,272,65.737,254,0.0997,18,4.9435,87,104.773,94,99.8297,68,1.6357,114,NA,17.8,214,18.39,334,17.6,4,18.58,12
"79","End of season",2022,"Colorado",0,"P12","Tad Boyle",21,12,10.6375,79,0.7702,74,106.538,108,102.96,157,95.9009,48,97.7033,70,68.4056,160,67.3989,160,0.0408,89,5.0052,86,105.527,79,100.522,93,-7.6224,339,NA,17.12,113,17.96,274,17.3,4,17.82,8
"80","End of season",2022,"New Mexico St.",12,"WAC","Chris Jans",27,7,10.6128,80,0.7686,77,107.072,92,104.141,128,96.4588,61,95.7672,38,67.6864,198,66.1255,238,0.0846,30,1.2052,122,102.499,172,101.293,109,3.4828,71,"NCAA",18.58,292,17.07,74,18.26,11,17.01,3
"81","End of season",2022,"South Dakota St.",13,"Sum","Eric Henderson",30,5,10.5795,81,0.7513,83,115.405,14,118.382,1,104.825,217,103.634,227,71.355,39,69.4429,61,0.0542,67,-4.1617,249,102.919,158,107.081,332,3.5996,66,"NCAA",15.56,12,18.08,292,15.55,2,18.49,10
"82","End of season",2022,"Oregon",0,"P12","Dana Altman",20,15,10.3265,82,0.7566,81,109.97,52,105.084,108,99.643,115,102.318,192,68.3501,163,67.9426,123,0.0136,146,7.4697,56,106.257,63,98.7878,40,3.1707,78,NA,17.23,128,17.76,221,17.09,3,17.53,3
"83","End of season",2022,"Maryland",0,"B10","Danny Manning",15,17,10.0573,83,0.752,82,109.375,61,104.36,124,99.3172,112,104.194,240,67.4481,213,66.6101,211,-0.0352,259,9.0237,28,108.477,10,99.453,57,-0.5187,173,NA,18.05,247,17.48,147,18.62,11,17.62,6
"84","End of season",2022,"Drake",0,"MVC","Darian DeVries",25,11,9.4817,84,0.7405,87,108.819,73,108.621,41,99.3378,113,99.1517,103,66.0343,281,66.2492,228,-0.0064,192,0.6947,129,103.69,126,102.996,156,-4.5103,284,NA,18.07,251,18.16,305,18.16,7,18.08,4
"85","End of season",2022,"Richmond",12,"A10","Chris Mooney",24,13,9.4457,85,0.7411,86,108.102,79,104.736,119,98.6568,94,100.792,151,67.3783,218,66.8295,197,0.0609,55,5.0682,83,105.521,80,100.453,90,2.4229,94,"NCAA",17.73,203,18.16,307,17.73,5,18.28,11
"86","End of season",2022,"Belmont",0,"OVC","Casey Alexander",25,8,9.4285,86,0.74,88,108.451,76,109.068,32,99.0225,104,96.5427,51,69.9023,83,68.9035,80,0.0661,51,-1.968,189,101.503,214,103.471,173,5.3032,38,NA,15.95,30,18.16,308,15.75,1,18.42,10
"87","End of season",2022,"Northwestern",0,"B10","Chris Collins",15,16,9.3772,87,0.7424,85,106.621,101,103.745,138,97.2441,73,101.21,163,68.7001,138,67.6685,137,-0.0768,331,7.8623,51,107.84,22,99.9779,74,-11.0073,357,NA,17.1,111,17.66,192,17.34,3,17.62,5
"88","End of season",2022,"Penn St.",0,"B10","Micah Shrewsberry",14,17,9.3137,88,0.7437,84,105.28,131,101.427,190,95.9659,50,101.981,180,62.8196,353,61.9866,354,-0.0369,263,9.397,24,109.43,3,100.033,76,-2.8325,247,NA,20.42,356,17.57,172,20.53,14,17.48,2
